Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
340,Baguette,261,724,2.7,9.3,18.5,3.48
341,Round,349,726,10.0,14.0,84.5,1.4
342,Round,830,729,14.8,16.1,139.0,1.09
343,Round,242,727,17.2,21.8,226.5,1.27
344,Round,290,729,12.9,13.0,95.0,1.01
345,Marquise,367,729,7.3,11.4,60.5,1.57
346,Marquise,274,735,2.8,7.1,13.0,2.5
347,Round,782,727,17.8,14.4,167.0,1.24
348,Round,862,731,19.8,18.4,273.0,1.08
349,Marquise,256,737,13.4,6.3,48.0,2.14
350,Round,911,727,14.3,16.7,108.5,1.17
351,Baguette,282,742,2.4,9.8,16.0,4.07
352,Marquise,307,742,7.3,13.8,56.5,1.89
353,Round,765,736,21.4,17.6,210.0,1.21
354,Marquise,408,736,20.4,35.5,446.5,1.74
355,Round,816,740,16.6,15.6,175.0,1.06
356,Round,257,741,17.4,21.9,232.0,1.26
357,Marquise,324,743,15.3,9.3,64.0,1.64
358,Marquise,378,743,12.8,19.6,99.0,1.53
359,Round,372,753,23.2,23.5,249.0,1.01
360,Round,360,744,19.9,18.4,198.0,1.08
361,Baguette,300,753,1.8,14.3,17.5,8.0
362,Round,749,747,17.8,12.2,153.5,1.46
363,Round,849,744,21.3,17.8,207.5,1.2
364,Marquise,274,747,21.5,13.3,165.0,1.62
365,Round,437,755,11.3,10.6,85.0,1.07
366,Marquise,801,750,23.5,13.7,185.0,1.72
367,Marquise,282,753,18.3,11.6,126.5,1.58
368,Round,732,755,19.2,13.3,175.0,1.45
369,Round,290,760,18.3,19.7,268.0,1.07
370,Marquise,786,760,20.9,11.7,133.5,1.79
371,Round,716,762,17.3,13.3,163.0,1.3
372,Round,837,760,14.8,16.3,171.5,1.1
373,Round,447,764,14.4,11.8,104.0,1.22
374,Marquise,889,772,3.6,8.2,16.0,2.28
375,Round,334,765,34.1,23.6,439.0,1.44
376,Baguette,306,770,12.5,4.3,18.5,2.87
377,Marquise,623,762,16.1,28.5,324.5,1.77
378,Round,699,768,18.0,13.0,175.5,1.39
379,Round,365,764,19.7,20.8,164.5,1.06
380,Marquise,397,762,16.3,30.1,291.0,1.85
381,Round,423,770,8.0,11.2,43.0,1.39
382,Marquise,355,775,3.5,6.4,13.0,1.8
383,Round,459,771,13.9,19.2,174.0,1.39
384,Baguette,260,728,23.4,98.8,581.0,4.22
385,Round,646,769,13.0,17.8,150.5,1.37
386,Round,683,772,16.7,14.3,158.0,1.16
387,Round,582,773,15.1,11.9,107.5,1.27
388,Round,660,773,18.3,24.6,245.0,1.35
389,Marquise,765,772,23.6,13.8,205.0,1.71
390,Marquise,817,773,21.0,11.7,124.5,1.79
391,Round,640,776,18.3,17.5,196.5,1.04
392,Round,476,778,12.9,15.8,128.0,1.23
393,Baguette,543,780,34.9,12.1,261.0,2.88
394,Marquise,879,775,11.3,23.3,208.0,2.06
395,Round,433,781,15.0,13.9,145.5,1.08
396,Round,491,781,13.9,18.2,149.5,1.31
397,Round,750,780,17.7,14.0,178.0,1.26
398,Marquise,599,770,17.0,30.4,272.5,1.79
399,Round,529,785,15.9,12.9,123.5,1.23
400,Round,522,788,11.4,8.3,53.0,1.37
401,Marquise,877,785,9.1,19.4,121.0,2.14
402,Marquise,798,795,17.0,10.4,87.0,1.63
403,Marquise,732,788,20.6,13.0,179.5,1.59
404,Round,451,790,14.6,16.5,160.5,1.13
405,Round,662,790,10.6,14.8,113.5,1.4
406,Round,642,789,21.9,15.2,195.0,1.44
407,Round,590,790,26.5,28.3,345.5,1.06
408,Round,713,794,20.2,13.7,150.5,1.47
409,Marquise,409,796,9.3,16.0,83.5,1.72
410,Round,368,803,6.9,9.7,45.0,1.4
411,Round,574,798,15.0,13.6,136.0,1.1
412,Marquise,353,797,26.8,12.3,185.5,2.18
413,Marquise,465,797,14.4,26.3,246.5,1.83
414,Round,608,802,9.2,12.0,61.5,1.31
415,Round,680,799,12.0,14.9,106.0,1.25
416,Round,699,799,13.0,17.0,135.5,1.31
417,Round,781,797,15.7,16.3,165.5,1.04
418,Marquise,486,803,8.0,14.0,54.0,1.75
419,Marquise,491,808,6.7,4.0,17.0,1.67
420,Round,555,806,15.2,13.0,110.5,1.17
421,Marquise,425,808,12.5,19.7,154.0,1.57
422,Marquise,495,808,12.7,22.4,195.0,1.77
423,Round,546,813,5.1,6.3,17.5,1.25
424,Round,551,812,10.0,9.0,40.0,1.11
425,Marquise,855,803,14.8,22.6,184.5,1.52
426,Marquise,515,810,11.0,20.0,150.0,1.82
427,Round,536,810,15.5,12.0,86.5,1.29
428,Round,760,808,17.4,17.0,171.0,1.03
429,Baguette,817,776,76.7,5.6,106.5,13.72
430,Marquise,395,814,17.8,28.6,360.0,1.61
431,Round,735,817,19.8,13.4,159.0,1.47
